"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"Y48G10A.1",276,281,304,253,397,371,324,315,507,235
"Y48G10A.2",164,151,148,148,381,201,171,232,248,159
"Y48G10A.3",570,602,598,472,737,533,519,493,733,421
"Y48G10A.4",3180,3239,2039,1956,1464,1178,1718,2236,867,377
"Y48G10A.6",71,98,75,55,167,191,227,182,259,103
"Y48G1A.1",182,182,149,146,259,196,162,215,205,113
"Y48G1A.4",362,304,419,322,590,446,406,446,621,343
"Y48G1BL.7",34,35,22,23,51,23,27,42,77,41
"Y48G1BL.8",0,2,0,1,0,2,4,7,0,0
"Y48G1BM.6",95,80,60,72,145,73,71,62,94,54
"Y48G1BR.1",219,257,516,372,684,347,531,620,651,304
"Y48G1C.1",325,360,440,330,495,539,649,570,631,317
"Y48G1C.10",201,205,230,199,369,193,186,216,280,151
"Y48G1C.12",109,144,134,91,168,170,125,163,195,134
"Y48G1C.13",6,6,4,3,2,5,29,24,16,20
"Y48G1C.5",1,0,0,0,8,2,1,0,2,1
"Y48G1C.8",687,665,896,751,1399,939,775,1087,1399,705
"Y48G1C.9",265,231,208,169,238,229,161,164,197,129
"Y48G8AL.10",208,167,196,218,359,235,191,264,296,145
"Y48G8AL.15",76,70,47,51,105,58,27,48,85,49
"Y48G8AL.5",1952,1740,1606,1424,2171,2208,1775,1819,2547,1405
"Y48G8AL.7",133,110,100,111,206,145,137,150,177,66
"Y48G8AR.2",13,5,6,5,7,8,3,10,16,8
"Y48G8AR.3",0,0,0,0,0,1,0,0,0,1
"Y48G9A.11",6,8,13,18,18,33,22,35,19,17
"Y48G9A.6",3,2,1,2,2,1,1,2,1,0
"Y48G9A.7",7,3,2,3,14,10,2,2,7,2
"Y48G9A.9",686,647,618,475,668,720,574,547,670,350
"Y49A10A.2",140,148,144,127,194,133,108,132,186,94
"Y49A3A.3",179,119,123,119,255,171,114,184,154,102
"Y49A3A.4",6,6,3,3,9,1,7,6,2,2
"Y49E10.10",1,0,2,2,1,2,0,1,1,1
"Y49E10.16",492,429,406,336,336,100,82,97,71,40
"Y49E10.18",22,23,27,15,40,2,6,8,7,4
"Y49E10.21",553,540,512,433,683,423,334,424,635,294
