"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"R04D3.2",5,1,1,12,1,17,18,47,22,9
"R04D3.3",3,2,1,23,1,38,30,104,29,29
"R04D3.4",0,0,0,4,0,6,8,13,3,1
"R04E5.7",87,63,101,93,145,138,121,174,239,136
"R04E5.8",1220,1154,1284,1031,2052,916,892,1248,1369,742
"R04E5.9",435,466,332,309,484,525,383,464,494,282
"R04F11.2",1974,1935,1647,1437,2495,2073,1850,1492,2211,1303
"R04F11.3",621,576,502,505,746,653,488,602,585,341
"R04F11.5",164,213,194,171,286,211,244,245,244,116
"R05A10.1",3335,3471,2712,2559,7088,4751,4312,3563,3204,1839
"R05A10.2",326,375,495,329,751,332,655,461,733,402
"R05A10.3",105,149,186,122,256,133,194,151,225,127
"R05A10.4",325,346,327,233,473,222,297,231,259,151
"R05A10.6",0,0,0,0,1,0,0,1,0,0
"R05C11.2",6,11,5,3,19,4,7,8,9,3
"R05C11.4",299,310,338,256,434,256,250,265,262,167
"R05D11.4",570,544,474,435,736,464,471,570,676,329
"R05D11.5",190,176,198,148,284,195,247,264,298,167
"R05D11.9",205,166,199,181,305,215,167,226,352,183
"R05D3.12",951,845,611,579,1166,562,353,489,743,345
"R05D3.2",883,781,854,628,1075,718,580,631,1202,614
"R05D3.8",127,106,125,130,156,165,102,95,202,89
"R05D3.9",452,472,540,402,780,381,468,477,755,431
"R05D7.1",426,334,176,210,361,600,228,214,203,129
"R05D7.2",120,81,27,36,62,94,34,38,16,10
"R05D7.3",234,223,273,178,317,253,184,227,323,156
"R05D7.5",218,231,313,247,419,286,267,270,406,250
"R05D7.7",39,49,36,24,61,66,48,55,55,33
"R05D8.7",192,190,173,108,321,365,315,194,235,123
"R05F9.11",18,12,9,27,32,51,23,38,31,17
"R05F9.6",4189,3615,2877,2482,3124,2679,1095,1221,1703,885
"R05F9.7",2,0,0,0,0,0,0,1,0,0
"R05F9.9",178,187,201,161,258,230,251,299,275,149
"R05G6.10",510,555,477,395,709,391,440,489,601,299
"R05G6.4",148,180,231,199,300,235,220,222,328,143
"R05G6.5",29,25,24,29,27,34,30,34,37,24
"R05G6.9",0,3,3,0,2,1,1,3,0,0
"R05G9.1",0,0,0,0,1,1,0,1,0,1
"R05G9.3",0,2,2,4,3,9,17,12,4,10
"R05G9.5",68,64,52,41,89,41,42,45,115,61
"R05H10.1",2449,2407,1651,1121,1457,1069,627,576,320,182
"R05H10.3",51,34,45,63,65,91,36,104,65,47
"R05H10.7",107,86,51,49,47,27,17,32,12,8
"R05H11.1",76,88,74,76,116,112,97,80,152,71
"R05H11.2",82,94,54,48,422,36,25,26,48,13
"R05H5.3",231,208,134,200,259,419,294,436,182,129
"R05H5.4",55,58,76,66,89,110,72,88,104,47
"R05H5.5",98,124,132,103,181,203,184,218,204,110
"R05H5.7",2,0,1,2,4,4,3,3,3,2
"R06A10.1",687,603,344,337,848,442,271,238,337,216
"R06A10.4",253,243,215,144,303,195,155,139,143,66
"R06A10.5",48,32,18,17,50,24,25,16,23,8
"R06A4.2",140,117,202,130,238,245,222,278,342,185
"R06B10.2",5,1,3,3,4,0,3,3,0,0
"R06B9.5",83,83,109,82,118,58,105,103,191,113
"R06C1.4",1491,1734,2260,1553,2757,1860,2445,1944,3099,1429
"R06C1.6",2488,2130,1546,1548,1955,1692,1154,1162,1483,726
"R06C7.2",10,3,9,14,13,25,9,22,14,16
"R06C7.6",20,29,21,23,34,16,34,28,28,16
"R06F6.12",237,204,227,225,301,365,222,250,334,188
"R06F6.14",14,20,18,6,45,10,4,14,13,2
"R06F6.8",694,604,679,560,943,743,677,775,1178,598
"R07A4.2",66,54,46,38,54,18,27,30,36,11
"R07A4.3",32,23,23,15,37,1,0,1,4,2
"R07A4.4",7,6,2,2,12,4,3,4,26,11
"R07B1.11",65,85,76,64,137,62,72,69,122,51
"R07B1.13",1,0,0,2,3,2,2,4,2,1
"R07B1.5",0,1,3,2,6,5,0,5,7,5
"R07B1.6",2,0,1,1,6,3,1,1,4,1
"R07B1.7",0,0,0,0,1,0,1,1,0,0
"R07B1.8",85,64,42,37,55,80,18,26,29,14
"R07B7.10",124,127,99,74,138,82,48,63,100,49
"R07B7.12",8,9,4,2,17,9,18,12,19,5
"R07B7.2",18,16,22,67,36,125,60,154,118,74
"R07B7.6",99,133,82,59,110,134,141,189,117,68
"R07B7.8",117,131,92,83,165,116,99,84,112,62
"R07B7.9",104,115,77,81,136,101,127,112,200,80
"R07C12.1",258,259,316,244,394,44,37,69,71,24
"R07C12.3",2,0,0,0,0,1,0,1,2,1
"R07C3.13",0,0,0,0,0,0,1,2,0,0
"R07C3.3",0,0,1,0,0,0,0,1,0,0
"R07D5.2",49,51,59,45,97,97,110,96,115,51
"R07E3.1",7302,6218,4880,4036,2629,1839,1725,1899,960,606
"R07E3.4",332,300,233,176,279,592,132,154,348,198
"R07E3.6",7,33,1,1,13,11,9,19,18,14
"R07E3.7",219,209,171,146,207,258,279,237,411,217
"R07E4.1",236,227,220,192,336,128,135,152,463,226
"R07E4.3",592,597,445,382,777,594,725,568,661,327
"R07E4.5",160,154,156,129,250,218,137,149,303,141
"R07E5.1",342,308,352,352,519,361,225,292,517,268
"R07E5.11",78,72,75,77,111,104,97,123,121,55
"R07E5.17",15,17,13,17,25,3,11,9,14,7
"R07E5.4",31,17,1,0,37,4,20,8,21,11
"R07E5.5",0,4,2,2,5,2,0,3,0,0
"R07E5.6",0,1,1,0,2,1,1,1,0,0
"R07E5.7",1028,922,1158,878,1105,943,832,748,1020,599
"R07G3.7",304,273,338,249,374,305,256,309,388,230
"R07G3.8",1319,1435,1196,965,1698,1005,1175,1131,1274,649
"R07H5.11",66,73,53,49,83,46,67,64,105,60
"R07H5.16",4,5,4,3,4,2,3,1,1,2
"R07H5.8",4237,3894,2577,2565,3635,3161,1955,1838,2952,1594
"R07H5.9",33,37,25,19,48,34,18,19,32,7
"R08A2.1",0,1,1,0,2,0,0,0,0,0
"R08A2.2",1,1,2,1,2,0,0,1,0,2
"R08A2.5",2,2,3,0,4,6,2,3,0,1
"R08A2.7",13,13,12,9,37,27,18,15,29,8
"R08B4.3",74,92,62,56,89,85,102,84,123,51
"R08B4.4",70,53,44,52,87,32,71,35,78,31
"R08B4.5",18,8,22,10,26,9,5,4,14,2
"R08C7.12",234,252,224,158,286,300,326,291,466,250
"R08C7.4",1,4,2,1,2,1,1,2,1,1
"R08C7.5",0,0,0,0,1,1,0,2,0,1
"R08C7.8",0,0,0,0,2,0,0,0,0,0
"R08D7.1",202,169,220,193,268,386,367,338,452,214
"R08D7.2",275,245,276,260,316,321,268,299,369,211
"R08D7.4",525,495,403,323,593,470,434,426,536,276
"R08D7.5",139,131,149,115,215,137,133,147,149,108
"R08D7.7",89,66,102,72,104,119,94,96,120,50
"R08E3.1",467,503,681,455,567,341,302,362,485,291
"R08E3.3",228,209,233,180,332,232,209,186,303,163
"R08E5.1",88,116,119,98,202,53,132,87,164,89
"R08E5.3",237,216,200,156,189,133,65,83,133,57
"R08E5.4",993,1217,1532,1204,2694,827,1936,1463,2410,1189
"R08F11.1",368,344,297,230,455,366,287,353,305,141
"R08F11.4",40,61,113,97,155,319,521,492,612,343
"R08F11.7",2,5,1,2,15,7,0,2,1,2
"R08H2.10",0,0,0,0,4,2,0,2,1,1
"R09A1.2",9,11,10,15,21,1,2,7,2,0
"R09A1.3",42,43,64,51,77,9,10,14,9,7
"R09A8.1",1,0,0,2,1,1,2,9,3,1
"R09A8.2",0,1,0,8,0,6,9,23,6,1
"R09A8.5",390,353,389,290,628,295,269,251,554,255
"R09A8.9",1,0,0,0,0,2,1,0,2,0
"R09B3.2",254,165,107,203,217,390,192,309,147,87
"R09B3.3",4992,4608,3008,2925,5213,6421,3842,3415,3526,1788
"R09B5.11",1895,1261,2155,1660,1704,1570,447,400,598,294
"R09D1.12",143,115,55,56,214,191,94,86,58,27
"R09D1.13",1,0,2,0,5,1,0,0,0,0
"R09E10.1",86,55,72,61,55,27,15,30,28,12
"R09E10.13",1255,884,1007,1130,1156,260,321,367,73,30
"R09E10.2",1,0,1,1,2,0,0,0,0,0
"R09E10.5",2,0,0,1,1,3,3,3,1,0
"R09E10.6",3,4,6,5,15,0,2,6,1,0
"R09E12.9",3,3,6,9,16,8,3,10,17,10
"R09F10.1",1096,1004,706,589,588,1185,925,1006,727,398
"R09F10.3",104,108,84,83,157,99,112,110,174,97
"R09F10.5",65,58,57,42,73,72,115,71,90,58
"R09F10.8",6,6,1,27,1,24,26,43,22,18
"R09H10.1",22,20,26,29,65,27,71,50,64,41
"R09H10.2",74,71,59,31,75,26,36,51,44,15
"R09H10.3",105,137,118,107,246,286,293,263,339,183
"R09H10.5",168,144,138,108,209,217,143,156,226,113
"R09H10.7",28,16,3,13,26,11,6,10,4,4
"R09H3.3",2,0,0,0,1,0,0,2,1,0
"R102.1",7,12,8,7,13,37,9,11,4,1
"R102.10",21,25,13,11,28,47,19,22,26,16
"R102.11",19,19,20,14,49,37,29,28,79,49
"R102.2",189,176,184,151,310,158,128,128,212,124
"R102.3",0,1,0,0,0,1,0,0,0,0
"R102.4",297,315,199,187,318,268,230,256,191,84
"R102.5",3975,3798,3978,3287,4893,4536,3380,3239,4696,2392
"R102.6",132,143,120,95,275,161,92,131,278,154
"R107.2",264,274,309,270,468,250,254,226,307,174
"R107.5",1935,727,1739,1922,2327,1062,629,763,1767,1195
"R10D12.1",329,274,236,239,556,578,270,303,600,302
"R10D12.10",9,21,9,12,15,19,11,9,24,9
"R10D12.13",108,107,87,106,124,171,139,207,215,104
"R10D12.15",0,0,0,0,0,0,0,0,2,0
"R10D12.6",0,0,0,0,1,0,0,2,0,0
"R10D12.7",4,2,3,4,4,1,0,0,0,1
"R10D12.8",67,96,89,47,99,93,123,117,126,61
"R10E11.5",1198,1516,1494,1214,2133,1009,1505,1544,1621,822
"R10E11.6",197,187,156,165,292,171,143,159,219,140
"R10E11.9",2,6,4,1,6,1,1,5,3,1
"R10E12.2",242,211,256,131,260,199,154,185,235,141
"R10E4.1",561,529,533,434,676,501,513,459,624,360
"R10E4.11",279,249,198,199,306,282,189,263,298,165
"R10E4.3",4,3,0,2,1,2,2,3,0,0
"R10E4.6",8,17,9,9,18,11,7,21,15,5
"R10E4.7",5,17,10,7,7,11,6,11,12,13
"R10E4.9",231,212,214,120,220,136,121,104,125,52
"R10E8.1",296,336,212,195,368,365,306,344,466,234
"R10E8.2",1,0,1,0,6,0,0,0,1,0
"R10E8.3",65,61,105,109,89,79,48,42,111,50
"R10E8.5",1,0,0,0,1,0,0,0,0,0
"R10E8.6",115,98,72,54,43,83,55,65,71,50
"R10E8.8",347,437,356,249,278,551,658,605,1118,552
"R10E9.2",4,5,5,1,5,7,7,5,7,2
"R10E9.3",37,30,15,28,42,38,43,40,55,28
"R10F2.6",25,26,21,30,45,36,21,28,23,9
"R10H1.1",1463,1558,978,823,1494,1779,1790,1405,1350,713
"R10H10.3",35,43,41,30,36,13,29,38,12,11
"R10H10.4",12,13,12,9,22,7,10,9,8,6
"R10H10.6",72,61,73,41,95,75,84,82,114,45
"R10H10.7",162,139,153,156,250,201,184,241,250,126
"R11.2",196,183,130,104,159,196,102,116,71,56
"R11.3",47,55,66,40,93,67,54,42,104,67
"R11.4",0,1,0,1,0,0,2,1,0,0
"R119.2",579,517,360,386,548,429,267,282,261,164
"R119.3",391,380,357,332,642,446,339,306,503,265
"R119.5",572,594,562,485,826,525,334,423,765,439
"R11A5.3",89,47,92,109,105,86,44,76,177,76
"R11A8.1",29,9,8,28,41,35,23,77,49,21
"R11A8.7",2480,2036,2503,2284,3399,1981,1609,2253,2800,1540
"R11D1.1",687,589,531,542,855,587,409,609,778,413
"R11D1.10",411,406,402,269,531,284,299,335,413,224
"R11D1.12",188,173,105,74,202,183,193,148,215,97
"R11D1.13",189,214,205,132,262,52,98,88,91,52
"R11D1.2",2,3,3,1,4,4,2,1,3,2
"R11D1.3",470,433,383,298,741,294,462,387,643,321
"R11D1.4",53,53,35,20,114,45,26,33,29,8
"R11D1.7",0,0,0,0,3,2,1,0,1,2
"R11E3.1",27,45,51,17,56,22,21,28,31,17
"R11E3.19",0,0,1,0,2,8,0,1,0,0
"R11E3.2",11,5,5,4,8,1,1,5,4,2
"R11F4.1",9315,9457,8775,7290,15166,17513,9166,9788,11030,6376
"R11F4.2",280,188,415,359,475,307,194,285,593,280
"R11F4.3",177,146,214,164,268,185,175,207,230,132
"R11G1.1",19,12,5,7,8,7,3,7,3,3
"R11G1.2",94,84,32,44,92,70,53,57,53,29
"R11G1.6",1450,1285,628,651,652,737,297,307,199,112
"R11G1.7",60,52,46,32,51,13,21,19,17,7
"R11G10.2",4,0,1,1,1,2,0,1,0,1
"R11G10.3",85,81,77,54,132,87,102,90,182,88
"R11G11.3",0,1,0,0,1,1,0,1,0,1
"R11G11.6",3,2,1,0,3,2,1,1,0,1
"R11H6.2",720,636,674,611,989,732,529,572,1073,557
"R11H6.4",83,80,52,64,49,65,115,140,48,21
"R11H6.5",218,187,224,211,308,245,243,313,286,160
"R12A1.3",3,5,2,3,7,8,1,6,4,0
"R12B2.2",197,204,187,135,181,180,147,165,196,106
"R12B2.3",35,35,21,19,25,47,22,22,44,20
"R12B2.6",1,6,4,2,3,24,13,14,3,2
"R12B2.7",1,2,3,1,3,4,0,2,0,1
"R12B2.8",148,169,162,128,189,112,137,137,153,83
"R12C12.10",6,3,1,1,5,1,2,2,4,2
"R12C12.5",511,556,562,430,748,552,502,418,623,397
"R12C12.6",281,310,238,210,418,257,386,353,357,164
"R12C12.7",246,240,221,206,285,317,437,344,324,194
"R12C12.9",335,281,202,160,204,110,195,176,182,82
"R12E2.1",452,391,445,445,501,483,327,410,784,406
"R12E2.11",1791,1623,1789,1630,1787,1828,1462,1515,2951,1610
"R12E2.13",1853,1739,1383,1251,1831,2245,1402,1189,1527,916
"R12E2.14",1,2,0,0,0,0,6,0,2,0
"R12E2.15",0,2,0,0,0,0,5,0,2,0
"R12E2.7",4,5,0,0,5,3,9,2,12,4
"R12E2.8",25,29,8,15,37,17,14,11,13,4
"R12G8.1",20,3,20,12,15,17,4,10,5,3
"R12H7.4",7,5,5,2,10,2,4,6,1,2
"R13A1.1",8,11,3,6,13,12,6,8,7,4
"R13A1.10",43,43,26,30,61,26,38,39,27,25
"R13A1.5",14,13,18,17,23,19,11,11,15,5
"R13A5.10",21,34,39,24,91,75,68,54,83,42
"R13A5.11",0,0,0,1,0,0,1,0,0,0
"R13A5.7",70,80,93,60,99,88,56,77,113,44
"R13A5.9",509,486,508,360,694,376,281,346,575,275
"R13D11.1",0,2,0,2,1,2,0,1,0,0
"R13D11.3",0,0,1,1,2,0,0,0,0,1
"R13D11.4",330,322,484,437,1126,1093,818,614,1487,810
"R13D7.2",1,1,1,0,4,0,0,0,2,0
"R13H4.5",832,775,673,635,946,887,490,559,770,348
"R13H4.6",0,4,1,3,2,0,1,1,3,0
"R13H4.7",18,27,17,19,25,26,12,13,18,15
"R13H7.2",159,242,146,127,257,229,339,428,335,172
"R144.10",26,13,15,31,42,74,29,68,71,30
"R144.11",245,226,209,162,351,209,268,304,320,147
"R144.12",283,291,215,222,336,217,255,269,385,169
"R144.13",107,113,88,75,125,97,79,100,129,58
"R144.19",1,1,0,0,0,1,0,0,0,0
"R144.3",269,270,215,200,250,235,266,293,266,119
"R144.6",241,237,213,209,340,298,260,227,303,158
"R148.3",980,843,1227,974,1691,966,960,1229,1559,932
"R148.4",6,11,11,24,15,54,26,61,36,31
"R148.5",1302,1317,1523,1152,1565,570,1072,1122,921,478
"R148.7",90,59,40,20,71,0,3,4,0,0
"R155.3",1,2,0,1,3,2,0,0,0,1
"R155.4",0,1,3,0,1,0,1,0,0,0
"R160.10",1,1,1,0,0,1,2,2,0,1
"R160.2",1,0,0,0,0,0,0,0,0,1
"R160.3",1,3,3,1,13,8,6,6,7,4
"R160.4",1,1,0,1,1,1,1,2,1,0
"R160.5",0,2,0,0,0,0,0,0,0,0
"R160.6",0,0,0,0,2,0,0,0,0,1
"R166.2",349,335,430,374,573,432,289,349,610,349
"R166.3",236,260,255,204,329,242,242,236,321,142
"R17.3",111,134,209,148,414,401,517,472,376,216
"R173.3",154,160,159,96,156,126,153,218,202,117
"R186.1",331,320,212,218,251,228,156,159,141,78
"R186.3",283,262,335,272,434,379,307,305,468,239
"R186.8",135,106,130,105,164,144,181,141,197,102
"R193.2",4,5,2,2,8,7,18,6,5,4
"R193.3",0,0,0,0,0,0,0,1,0,1
"R31.2",1917,1841,1752,1399,1884,1672,1349,1279,2006,1080
"R52.5",1,0,0,0,0,0,1,1,0,0
"R52.6",0,0,1,0,0,0,2,0,1,0
"R53.4",2867,2937,2971,2410,4768,2919,2766,2251,4004,2445
"R53.5",622,546,425,391,780,719,351,411,417,221
"R53.8",3,3,1,5,7,0,0,1,0,4
"R57.2",55,36,39,27,97,7,9,11,3,2
"R74.10",62,36,43,17,71,36,17,19,22,6
"R74.2",0,2,1,4,2,3,1,2,2,1
"R74.7",237,225,230,181,361,308,293,293,271,170
"R74.8",495,426,478,464,745,737,578,755,948,531
"R90.1",2575,2628,2199,1740,2654,3279,2093,2012,2616,1427
"T01B10.5",101,107,80,61,94,72,62,59,100,44
"T01B11.1",33,46,39,24,61,36,53,54,50,26
"T01B11.2",942,945,465,491,1601,2303,706,638,588,283
"T01B4.3",211,283,229,197,391,326,405,346,286,188
"T01B6.1",49,39,38,30,85,57,56,70,144,66
"T01B7.5",5667,5536,4128,3610,5378,6580,4429,4241,4602,2738
"T01B7.8",17,20,24,19,20,6,5,9,7,2
"T01B7.9",89,107,63,56,74,54,51,71,44,29
"T01C1.4",41,45,52,33,59,36,45,36,25,10
"T01C3.11",227,212,196,124,182,67,59,53,27,15
"T01C3.2",160,159,161,132,205,197,243,229,189,111
"T01C3.3",23,6,7,106,9,215,131,314,132,92
"T01C3.9",69,86,95,114,122,204,138,227,141,92
"T01C8.2",298,366,410,346,775,537,840,628,688,325
"T01C8.3",11,18,31,23,36,41,24,44,70,39
"T01D1.3",359,325,302,193,291,80,85,85,59,21
"T01D1.4",251,277,139,161,611,766,394,316,333,161
"T01D1.7",5,3,7,2,9,1,3,2,4,1
"T01D1.8",6,9,8,12,27,10,11,16,18,16
"T01D3.1",1001,970,939,755,1433,608,505,653,977,472
"T01D3.3",2008,2054,2348,1735,2930,1962,1461,1897,3566,1743
"T01D3.6",11,19,8,10,47,15,12,11,15,11
"T01E8.1",428,514,534,377,704,686,584,562,669,341
"T01E8.8",15,12,21,22,14,11,16,29,12,7
"T01G1.4",2858,2454,1608,1560,1919,1798,1159,1117,994,620
"T01G5.1",209,249,173,139,174,105,81,79,76,52
"T01G5.6",1,1,0,0,1,2,7,6,5,5
"T01G5.7",2,2,0,2,0,3,11,11,8,5
"T01G5.8",0,0,0,0,0,2,0,0,0,0
"T01G6.1",4,1,0,0,2,0,1,0,2,0
"T01G6.10",3,1,5,2,2,4,1,0,3,5
"T01G9.2",751,681,576,488,792,569,545,609,784,435
"T01H3.2",353,381,350,278,640,349,400,480,688,331
"T01H3.3",409,430,546,453,775,459,445,533,842,494
"T01H3.5",8,19,14,12,21,23,23,13,16,9
"T01H8.2",108,141,93,68,174,107,137,107,140,64
"T02B11.10",13,6,6,3,9,23,26,37,5,3
"T02B11.11",2,0,1,1,0,7,12,13,6,4
"T02B11.12",0,2,0,0,0,7,6,2,1,1
"T02B11.13",0,0,0,1,0,4,6,10,1,0
"T02B11.3",192,217,430,318,827,287,400,369,1102,629
"T02B11.4",61,57,102,102,168,188,139,207,546,344
"T02B11.6",605,677,645,447,678,484,292,308,390,211
"T02B11.8",57,54,33,29,74,99,114,92,96,44
"T02B5.3",164,182,132,124,199,128,114,112,129,77
"T02C1.1",37,41,27,19,37,28,11,8,18,3
"T02C1.2",33,28,23,18,36,18,27,23,34,16
"T02C12.5",96,123,174,122,297,189,274,209,385,185
"T02C5.1",2917,2782,3243,2405,3320,3029,1883,1917,3643,2078
"T02D1.4",42,36,54,42,76,55,20,32,94,58
"T02D1.8",113,144,103,100,145,58,127,111,97,43
"T02D1.9",0,0,0,0,1,0,0,0,1,0
"T02E1.2",312,281,285,228,324,347,293,416,501,271
"T02E1.6",0,1,0,0,2,0,0,1,0,0
"T02E1.7",0,0,1,0,1,0,0,2,0,0
"T02E9.5",855,1010,844,590,893,439,544,461,447,255
"T02E9.6",1,0,1,0,1,1,0,0,0,0
"T02G5.14",132,143,113,72,168,102,72,73,103,59
"T02G5.15",26,31,30,18,81,8,7,9,17,10
"T02G5.3",108,112,93,75,189,74,95,100,134,73
"T02G5.7",671,637,894,629,1001,1139,1214,1173,1612,893
"T02G6.1",26,22,23,33,29,8,8,7,11,2
"T02G6.11",0,0,0,0,1,0,0,1,0,0
"T02G6.2",7,2,5,5,12,1,1,2,2,1
"T02G6.3",10,7,3,2,4,4,1,2,0,0
"T02G6.4",1,1,1,0,0,0,1,0,0,0
"T02G6.5",3,1,1,2,7,6,4,10,10,2
"T02G6.7",2,1,1,0,3,3,5,5,4,0
"T02H6.1",455,411,540,405,694,672,533,606,955,440
"T02H6.10",1,0,0,0,0,0,0,0,1,0
"T02H6.11",1554,1452,1271,1188,2153,2142,1580,1265,2141,1261
"T02H6.3",0,0,0,0,2,0,0,0,0,1
"T02H6.5",3,7,5,0,10,37,11,21,18,4
"T02H6.9",2,2,2,1,0,0,1,2,2,1
"T03D3.5",73,63,62,62,100,138,89,94,113,65
"T03D8.6",830,951,959,659,1430,953,798,796,1290,652
"T03D8.7",6,3,3,5,22,9,11,5,2,3
"T03E6.2",9,24,13,11,20,34,10,25,23,5
"T03E6.8",105,119,111,81,76,11,30,36,18,15
"T03E6.9",11,17,13,9,10,43,35,33,20,22
"T03F1.11",298,139,164,107,474,158,71,117,75,30
"T03F1.12",61,55,63,71,83,98,64,64,81,59
"T03F1.6",70,71,73,53,113,94,58,57,74,50
"T03F6.10",22,22,29,22,26,31,25,16,26,15
"T03F6.3",165,138,165,135,173,122,135,178,88,56
"T03F6.4",308,343,289,196,489,334,250,251,455,215
"T03F6.6",42,52,45,36,90,169,105,90,109,60
"T03F6.7",0,1,0,0,0,1,0,0,0,1
"T03F6.9",4,5,2,1,3,8,3,3,2,0
"T03F7.5",3,8,6,5,5,9,13,9,10,0
"T03F7.6",0,2,1,0,0,0,2,0,2,1
"T03F7.7",794,842,638,479,873,622,524,428,693,344
"T03G11.10",22,28,22,13,22,38,56,49,49,13
"T03G11.3",73,68,48,45,114,56,39,44,85,53
"T03G11.6",108,116,82,77,130,142,100,105,163,92
"T03G11.9",17,25,30,30,19,32,35,34,13,14
"T03G6.1",15,19,5,1,83,7,10,9,4,2
"T03G6.3",1221,1146,900,743,826,623,350,394,380,242
"T04A6.1",991,1235,762,616,1031,795,638,585,277,157
"T04A6.2",3,5,4,6,11,11,11,14,10,1
"T04A8.13",9,4,1,5,4,7,7,2,7,3
"T04A8.18",258,255,223,193,386,190,243,248,466,226
"T04A8.6",249,271,516,379,603,549,516,483,1026,541
"T04A8.7",629,519,632,577,855,695,514,644,1341,752
"T04A8.8",520,368,490,449,486,696,638,798,738,479
"T04B2.3",343,445,422,262,389,179,160,182,190,96
"T04B2.7",6,13,4,7,7,17,13,17,9,6
"T04B8.1",0,1,0,1,1,0,0,0,0,0
"T04B8.5",368,376,378,322,541,391,365,417,474,245
"T04C10.3",2,1,2,0,1,3,4,4,6,2
"T04C12.1",66,59,42,43,87,99,47,56,168,88
"T04C12.11",477,458,598,422,909,696,678,569,1944,1070
"T04C12.3",651,563,644,469,1009,1810,1929,1500,2065,1319
"T04C12.33",83,69,63,37,182,72,82,51,76,41
"T04C12.7",887,1025,1002,814,1557,1317,1471,1060,1057,589
"T04C12.8",47,34,39,14,81,24,29,19,29,11
"T04C12.9",5,8,6,5,14,8,4,10,12,2
"T04C4.1",756,680,586,498,703,805,516,723,1043,612
"T04C4.3",2,2,1,2,3,2,0,0,3,0
"T04C9.1",2042,1952,2040,1558,2777,1942,1388,1918,2168,1148
"T04C9.2",1,1,0,0,0,0,1,1,1,0
"T04C9.3",0,0,0,0,0,1,0,1,0,0
"T04D1.2",26,23,16,17,40,29,12,18,14,13
"T04D3.1",46,42,46,40,43,24,42,38,36,34
"T04D3.8",18,9,11,20,9,46,70,93,30,20
"T04F3.1",2909,2383,2183,1799,2973,917,806,948,1478,866
"T04F3.2",258,278,343,269,387,278,488,422,520,276
"T04F3.3",12,7,19,12,22,23,28,31,35,23
"T04F3.4",74,90,60,52,118,83,79,64,61,31
"T04F3.5",3,2,5,4,6,7,10,12,4,7
"T04F8.2",304,279,270,179,328,293,272,240,419,207
"T04F8.3",63,65,42,53,60,51,37,52,58,31
"T04F8.6",363,362,307,259,544,354,275,296,661,353
"T04F8.7",215,164,208,159,285,209,118,174,202,124
"T04F8.8",1227,1270,1122,654,530,67,180,123,81,60
"T04F8.9",8,10,5,3,16,5,4,9,24,22
"T04G9.4",451,430,387,305,581,499,337,291,348,199
"T04G9.6",0,0,0,0,0,0,0,0,1,1
"T04G9.7",57,42,59,131,79,430,661,909,289,192
"T04H1.2",1832,2039,1776,1479,2390,2280,1971,1868,2103,1008
"T04H1.5",119,106,109,114,136,183,152,207,143,100
"T05A1.5",19,20,29,17,44,28,45,51,109,43
"T05A10.6",3,4,6,3,15,8,0,3,8,3
"T05A12.3",1826,1600,1335,1189,1734,2139,1387,1798,1846,968
"T05A12.4",387,381,424,280,559,370,319,389,650,332
"T05A7.1",867,1114,636,485,627,482,506,478,304,149
"T05A7.11",0,0,1,0,0,0,1,1,1,0
"T05A7.12",6,1,1,1,9,3,1,2,1,0
"T05A7.13",2,4,3,5,11,1,2,4,9,5
"T05A7.3",2,0,1,2,5,3,0,4,0,0
"T05A7.6",0,0,0,0,3,1,0,2,1,0
"T05A7.7",107,90,94,69,113,56,53,40,50,17
"T05A8.1",3,3,6,8,18,8,6,10,8,1
"T05A8.2",3,2,2,2,4,3,3,6,4,1
"T05A8.3",642,671,799,579,1318,552,602,555,1116,558
"T05A8.5",36,45,28,21,64,37,34,41,63,27
"T05A8.6",2,0,0,0,4,0,0,1,0,0
"T05A8.7",0,0,0,0,0,4,3,1,1,1
"T05A8.8",6,4,4,5,14,5,4,2,7,5
"T05B11.1",84,99,116,80,159,89,74,95,118,57
"T05B11.4",42,42,38,22,73,15,28,45,38,20
"T05B11.7",78,109,73,49,111,69,67,65,94,49
"T05B4.12",1,2,3,0,18,7,0,0,52,0
"T05B4.13",2,0,1,0,0,1,0,1,4,0
"T05B4.8",0,1,0,0,2,0,0,0,1,0
"T05B9.1",116,66,51,179,120,331,149,345,143,100
"T05B9.2",22,16,18,12,46,53,20,37,27,16
"T05C1.1",191,221,168,131,251,96,114,97,144,58
"T05C1.2",143,154,147,123,256,198,213,207,267,129
"T05C1.3",31,36,12,7,80,5,12,7,16,10
"T05C1.5",0,1,2,0,1,2,0,1,1,1
"T05C12.1",6,6,2,5,8,4,5,3,4,0
"T05C12.11",105,115,73,45,113,169,157,113,94,47
"T05C12.4",1,1,0,1,1,0,0,1,2,1
"T05C12.8",103,83,114,99,181,69,52,59,139,67
"T05C12.9",0,0,0,0,1,0,0,0,1,0
"T05C3.2",3,4,2,0,6,4,3,4,6,1
"T05C3.6",122,98,77,71,112,175,128,126,107,67
"T05C7.4",4,2,7,3,3,5,3,3,2,0
"T05C7.7",1,1,2,0,3,2,1,1,0,0
"T05C7.8",5,2,0,2,6,11,3,3,0,3
"T05C7.9",2,0,0,0,1,0,1,1,0,1
"T05D4.2",9,18,10,6,11,18,10,7,7,2
